# file...... strom/apartment_building5_power.csv
# date...... Mon Nov 16 14:33:49 2020
# user...... gregor
# host...... (null)
# group..... class=triplex_meter AND groupid=building5
# trigger... (none)
# interval.. 1800
# limit..... 0
# property.. timestamp,sum(measured_real_power)
2012-04-08 00:00:00 UTC,+820
2012-04-08 00:30:00 UTC,+654
2012-04-08 01:00:00 UTC,+654
2012-04-08 01:30:00 UTC,+610
2012-04-08 02:00:00 UTC,+583
2012-04-08 02:30:00 UTC,+651
2012-04-08 03:00:00 UTC,+652
2012-04-08 03:30:00 UTC,+596
2012-04-08 04:00:00 UTC,+520
2012-04-08 04:30:00 UTC,+451
2012-04-08 05:00:00 UTC,+434
2012-04-08 05:30:00 UTC,+487
2012-04-08 06:00:00 UTC,+523
2012-04-08 06:30:00 UTC,+454
2012-04-08 07:00:00 UTC,+424
2012-04-08 07:30:00 UTC,+407
2012-04-08 08:00:00 UTC,+430
2012-04-08 08:30:00 UTC,+872
2012-04-08 09:00:00 UTC,+1905
2012-04-08 09:30:00 UTC,+1640
2012-04-08 10:00:00 UTC,+1829
2012-04-08 10:30:00 UTC,+1693
2012-04-08 11:00:00 UTC,+983
2012-04-08 11:30:00 UTC,+1903
2012-04-08 12:00:00 UTC,+1829
2012-04-08 12:30:00 UTC,+962
2012-04-08 13:00:00 UTC,+886
2012-04-08 13:30:00 UTC,+744
2012-04-08 14:00:00 UTC,+850
2012-04-08 14:30:00 UTC,+770
2012-04-08 15:00:00 UTC,+782
2012-04-08 15:30:00 UTC,+777
2012-04-08 16:00:00 UTC,+766
2012-04-08 16:30:00 UTC,+754
2012-04-08 17:00:00 UTC,+1540
2012-04-08 17:30:00 UTC,+2912
2012-04-08 18:00:00 UTC,+1719
2012-04-08 18:30:00 UTC,+1559
2012-04-08 19:00:00 UTC,+2198
2012-04-08 19:30:00 UTC,+1600
2012-04-08 20:00:00 UTC,+997
2012-04-08 20:30:00 UTC,+1125
2012-04-08 21:00:00 UTC,+1372
2012-04-08 21:30:00 UTC,+1377
2012-04-08 22:00:00 UTC,+2273
