# file...... strom/strom_1.csv
# date...... Mon Nov 16 14:33:49 2020
# user...... gregor
# host...... (null)
# target.... triplex_meter 39
# trigger... (none)
# interval.. 1800
# limit..... 0
# timestamp,measured_real_energy,measured_power,measured_real_power,measured_demand,monthly_bill,price,first_tier_price,price_base
2012-04-08 00:00:00 UTC,+0,+143-1.70816e-14d,+143,+143,+0,+30,+0,+0
2012-04-08 00:30:00 UTC,+71.5,+144-5.65432e-15d,+144,+144,+32.145,+0.0651396,+0,+0
2012-04-08 01:00:00 UTC,+143.5,+143-8.54079e-15d,+143,+144,+32.1497,+0.0651396,+0,+0
2012-04-08 01:30:00 UTC,+215,+209-3.8958e-15d,+209,+209,+32.1543,+0.0632799,+0,+0
2012-04-08 02:00:00 UTC,+319.5,+222-2.2006e-14d,+222,+222,+32.161,+0.0632799,+0,+0
2012-04-08 02:30:00 UTC,+430.5,+209+7.7916e-15d,+209,+222,+32.168,+0.0479266,+0,+0
2012-04-08 03:00:00 UTC,+535,+149-2.73229e-15d,+149,+222,+32.173,+0.0479266,+0,+0
2012-04-08 03:30:00 UTC,+609.5,+124-1.31326e-14d,+124,+222,+32.1766,+0.0549807,+0,+0
2012-04-08 04:00:00 UTC,+671.5,+118-1.03503e-14d,+118,+222,+32.18,+0.0549807,+0,+0
2012-04-08 04:30:00 UTC,+730.5,+136-2.99346e-15d,+136,+222,+32.1832,+0.0541449,+0,+0
2012-04-08 05:00:00 UTC,+798.5,+130+0d,+130,+222,+32.1869,+0.0541449,+0,+0
2012-04-08 05:30:00 UTC,+863.5,+124+3.28315e-15d,+124,+222,+32.1904,+0.0526922,+0,+0
2012-04-08 06:00:00 UTC,+925.5,+124-1.96989e-14d,+124,+222,+32.1937,+0.0526922,+0,+0
2012-04-08 06:30:00 UTC,+987.5,+123+3.30985e-15d,+123,+222,+32.197,+0.0256759,+0,+0
2012-04-08 07:00:00 UTC,+1049,+153-5.32171e-15d,+153,+222,+32.1985,+0.0256759,+0,+0
2012-04-08 07:30:00 UTC,+1125.5,+122-1.33479e-14d,+122,+222,+32.2005,+0.0487565,+0,+0
2012-04-08 08:00:00 UTC,+1186.5,+121-3.36455e-15d,+121,+222,+32.2035,+0.0487565,+0,+0
2012-04-08 08:30:00 UTC,+1247,+121-1.34582e-14d,+121,+222,+32.2064,+0.0607318,+0,+0
2012-04-08 09:00:00 UTC,+1307.5,+131-3.10772e-15d,+131,+222,+32.2101,+0.0607318,+0,+0
2012-04-08 09:30:00 UTC,+1373,+116-2.4567e-14d,+116,+222,+32.2141,+0.0674444,+0,+0
2012-04-08 10:00:00 UTC,+1431,+116-2.80766e-14d,+116,+222,+32.218,+0.0674444,+0,+0
2012-04-08 10:30:00 UTC,+1489,+117-6.95916e-15d,+117,+222,+32.2219,+0.0771391,+0,+0
2012-04-08 11:00:00 UTC,+1547.5,+121-2.01873e-14d,+121,+222,+32.2264,+0.0771391,+0,+0
2012-04-08 11:30:00 UTC,+1608,+122+1.00109e-14d,+122,+222,+32.2311,+0.115129,+0,+0
2012-04-08 12:00:00 UTC,+1669,+120-6.78518e-15d,+120,+222,+32.2381,+0.115129,+0,+0
2012-04-08 12:30:00 UTC,+1729,+121-2.35519e-14d,+121,+222,+32.245,+0.314472,+0,+0
2012-04-08 13:00:00 UTC,+1789.5,+138-2.95008e-15d,+138,+222,+32.264,+0.314472,+0,+0
2012-04-08 13:30:00 UTC,+1858.5,+122-6.67395e-15d,+122,+222,+32.2857,+0.103281,+0,+0
2012-04-08 14:00:00 UTC,+1919.5,+128-1.59028e-14d,+128,+222,+32.292,+0.103281,+0,+0
2012-04-08 14:30:00 UTC,+1983.5,+278-2.92886e-15d,+278,+278,+32.2986,+0.107517,+0,+0
2012-04-08 15:00:00 UTC,+2122.5,+230-1.77005e-14d,+230,+278,+32.3136,+0.107517,+0,+0
2012-04-08 15:30:00 UTC,+2237.5,+204+3.99128e-15d,+204,+278,+32.3259,+0.0909781,+0,+0
2012-04-08 16:00:00 UTC,+2339.5,+143-1.70816e-14d,+143,+278,+32.3352,+0.0909781,+0,+0
2012-04-08 16:30:00 UTC,+2411,+139-1.17154e-14d,+139,+278,+32.3417,+0.0994651,+0,+0
2012-04-08 17:00:00 UTC,+2480.5,+243+6.70142e-15d,+243,+278,+32.3486,+0.0994651,+0,+0
2012-04-08 17:30:00 UTC,+2602,+336-1.45397e-14d,+336,+336,+32.3607,+0.163446,+0,+0
2012-04-08 18:00:00 UTC,+2770,+267-1.21981e-14d,+267,+336,+32.3882,+0.163446,+0,+0
2012-04-08 18:30:00 UTC,+2903.5,+235+0d,+235,+336,+32.41,+0.18878,+0,+0
2012-04-08 19:00:00 UTC,+3021,+214-3.80478e-15d,+214,+336,+32.4322,+0.18878,+0,+0
2012-04-08 19:30:00 UTC,+3128,+214-1.90239e-14d,+214,+336,+32.4524,+0.122554,+0,+0
2012-04-08 20:00:00 UTC,+3235,+211-1.15766e-14d,+211,+336,+32.4655,+0.122554,+0,+0
2012-04-08 20:30:00 UTC,+3340.5,+221-3.68426e-15d,+221,+336,+32.4784,+0.281735,+0,+0
2012-04-08 21:00:00 UTC,+3451,+141-2.30985e-14d,+141,+336,+32.5096,+0.281735,+0,+0
2012-04-08 21:30:00 UTC,+3521.5,+226-3.60275e-15d,+226,+336,+32.5294,+0.240559,+0,+0
2012-04-08 22:00:00 UTC,+3634.5,+311-1.04723e-14d,+311,+336,+32.5566,+0.240559,+0,+0
2012-04-08 22:30:00 UTC,+3790,+453-7.1896e-15d,+453,+453,+32.594,+0.0828338,+0,+0
2012-04-08 23:00:00 UTC,+4016.5,+370+8.8024e-15d,+370,+453,+32.6128,+0.0828338,+0,+0
2012-04-08 23:30:00 UTC,+4201.5,+302-5.3922e-15d,+302,+453,+32.6281,+0.0810057,+0,+0
2012-04-09 00:00:00 UTC,+4352.5,+331-4.91977e-15d,+331,+453,+32.6403,+0.0810057,+0,+0
2012-04-09 00:30:00 UTC,+4518,+140-5.81587e-15d,+140,+453,+32.6537,+0.0623406,+0,+0
2012-04-09 01:00:00 UTC,+4588,+134-9.11443e-15d,+134,+453,+32.6581,+0.0623406,+0,+0
2012-04-09 01:30:00 UTC,+4655,+145-1.40383e-14d,+145,+453,+32.6623,+0.0583953,+0,+0
2012-04-09 02:00:00 UTC,+4727.5,+138-1.18003e-14d,+138,+453,+32.6665,+0.0583953,+0,+0
2012-04-09 02:30:00 UTC,+4796.5,+128-9.54166e-15d,+128,+453,+32.6705,+0.0561628,+0,+0
2012-04-09 03:00:00 UTC,+4860.5,+134-1.51907e-14d,+134,+453,+32.6741,+0.0561628,+0,+0
2012-04-09 03:30:00 UTC,+4927.5,+127-1.92336e-14d,+127,+453,+32.6779,+0.0533591,+0,+0
2012-04-09 04:00:00 UTC,+4991,+129-6.3118e-15d,+129,+453,+32.6813,+0.0533591,+0,+0
2012-04-09 04:30:00 UTC,+5055.5,+124-9.84946e-15d,+124,+453,+32.6847,+0.0559435,+0,+0
2012-04-09 05:00:00 UTC,+5117.5,+130-6.26325e-15d,+130,+453,+32.6882,+0.0559435,+0,+0
2012-04-09 05:30:00 UTC,+5182.5,+129-1.57795e-14d,+129,+453,+32.6918,+0.0666255,+0,+0
2012-04-09 06:00:00 UTC,+5247,+124-1.64158e-14d,+124,+453,+32.6961,+0.0666255,+0,+0
2012-04-09 06:30:00 UTC,+5309,+123-6.61969e-15d,+123,+453,+32.7003,+0.0715496,+0,+0
2012-04-09 07:00:00 UTC,+5370.5,+153-2.12868e-14d,+153,+453,+32.7047,+0.0715496,+0,+0
2012-04-09 07:30:00 UTC,+5447,+117-2.08775e-14d,+117,+453,+32.7101,+0.0638158,+0,+0
2012-04-09 08:00:00 UTC,+5505.5,+116-1.05287e-14d,+116,+453,+32.7139,+0.0638158,+0,+0
2012-04-09 08:30:00 UTC,+5563.5,+122-1.00109e-14d,+122,+453,+32.7176,+0.0814734,+0,+0
2012-04-09 09:00:00 UTC,+5624.5,+125-9.77066e-15d,+125,+453,+32.7225,+0.0814734,+0,+0
