# file...... strom/strom_78.csv
# date...... Mon Nov 16 14:33:49 2020
# user...... gregor
# host...... (null)
# target.... triplex_meter 732
# trigger... (none)
# interval.. 1800
# limit..... 0
# timestamp,measured_real_energy,measured_power,measured_real_power,measured_demand,monthly_bill,price
2012-04-08 00:00:00 UTC,+0,+100-4.07111e-15d,+100,+100,+0,+30
2012-04-08 00:30:00 UTC,+50,+57-1.42846e-14d,+57,+100,+1.5,+0.0651396
2012-04-08 01:00:00 UTC,+78.5,+94-8.66194e-15d,+94,+100,+1.50186,+0.0651396
2012-04-08 01:30:00 UTC,+125.5,+52-3.91453e-15d,+52,+100,+1.50492,+0.0632799
2012-04-08 02:00:00 UTC,+151.5,+99-1.23367e-14d,+99,+100,+1.50656,+0.0632799
2012-04-08 02:30:00 UTC,+201,+61-1.00109e-14d,+61,+100,+1.5097,+0.0479266
2012-04-08 03:00:00 UTC,+231.5,+105-2.32635e-14d,+105,+105,+1.51116,+0.0479266
2012-04-08 03:30:00 UTC,+284,+61-1.00109e-14d,+61,+105,+1.51367,+0.0549807
2012-04-08 04:00:00 UTC,+314.5,+104-1.56581e-14d,+104,+105,+1.51535,+0.0549807
2012-04-08 04:30:00 UTC,+366.5,+52-1.17436e-14d,+52,+105,+1.51821,+0.0541449
2012-04-08 05:00:00 UTC,+392.5,+94-2.59858e-14d,+94,+105,+1.51962,+0.0541449
2012-04-08 05:30:00 UTC,+439.5,+53+3.84067e-15d,+53,+105,+1.52216,+0.0526922
2012-04-08 06:00:00 UTC,+466,+85+0d,+85,+105,+1.52356,+0.0526922
2012-04-08 06:30:00 UTC,+508.5,+61+3.33698e-15d,+61,+105,+1.5258,+0.0256759
2012-04-08 07:00:00 UTC,+539,+75-5.42815e-15d,+75,+105,+1.52658,+0.0256759
2012-04-08 07:30:00 UTC,+576.5,+71-2.29358e-14d,+71,+105,+1.52754,+0.0487565
2012-04-08 08:00:00 UTC,+612,+858+1.51836e-14d,+858,+858,+1.52927,+0.0487565
2012-04-08 08:30:00 UTC,+1041,+732-8.8986e-15d,+732,+858,+1.55019,+0.0607318
2012-04-08 09:00:00 UTC,+1407,+431+7.55658e-15d,+431,+858,+1.57242,+0.0607318
2012-04-08 09:30:00 UTC,+1622.5,+403-8.08161e-15d,+403,+858,+1.58551,+0.0674444
2012-04-08 10:00:00 UTC,+1824,+208+0d,+208,+858,+1.5991,+0.0674444
2012-04-08 10:30:00 UTC,+1928,+242-1.34582e-14d,+242,+858,+1.60611,+0.0771391
2012-04-08 11:00:00 UTC,+2049,+256+3.18055e-15d,+256,+858,+1.61544,+0.0771391
2012-04-08 11:30:00 UTC,+2177,+664-4.90495e-15d,+664,+858,+1.62532,+0.115129
2012-04-08 12:00:00 UTC,+2509,+378+0d,+378,+858,+1.66354,+0.115129
2012-04-08 12:30:00 UTC,+2698,+663-9.8247e-15d,+663,+858,+1.6853,+0.314472
2012-04-08 13:00:00 UTC,+3029.5,+516-2.20913e-14d,+516,+858,+1.78955,+0.314472
2012-04-08 13:30:00 UTC,+3287.5,+134+6.07628e-15d,+134,+858,+1.87068,+0.103281
2012-04-08 14:00:00 UTC,+3354.5,+265+3.07254e-15d,+265,+858,+1.8776,+0.103281
2012-04-08 14:30:00 UTC,+3487,+153+0d,+153,+858,+1.89129,+0.107517
2012-04-08 15:00:00 UTC,+3563.5,+161+5.05728e-15d,+161,+858,+1.89951,+0.107517
2012-04-08 15:30:00 UTC,+3644,+161-1.51718e-14d,+161,+858,+1.90817,+0.0909781
2012-04-08 16:00:00 UTC,+3724.5,+1728-1.50782e-14d,+1728,+1728,+1.91549,+0.0909781
2012-04-08 16:30:00 UTC,+4588.5,+162+0d,+162,+1728,+1.9941,+0.0994651
2012-04-08 17:00:00 UTC,+4669.5,+1031-9.47688e-15d,+1031,+1728,+2.00215,+0.0994651
2012-04-08 17:30:00 UTC,+5185,+653-9.97515e-15d,+653,+1728,+2.05343,+0.163446
2012-04-08 18:00:00 UTC,+5511.5,+658-4.94968e-15d,+658,+1728,+2.10679,+0.163446
2012-04-08 18:30:00 UTC,+5840.5,+283-2.01398e-14d,+283,+1728,+2.16057,+0.18878
2012-04-08 19:00:00 UTC,+5982,+333-1.95609e-14d,+333,+1728,+2.18728,+0.18878
2012-04-08 19:30:00 UTC,+6148.5,+276+5.90016e-15d,+276,+1728,+2.21871,+0.122554
2012-04-08 20:00:00 UTC,+6286.5,+556+2.92886e-15d,+556,+1728,+2.23562,+0.122554
2012-04-08 20:30:00 UTC,+6564.5,+189-1.72322e-14d,+189,+1728,+2.26969,+0.281735
2012-04-08 21:00:00 UTC,+6659,+187+4.35413e-15d,+187,+1728,+2.29632,+0.281735
2012-04-08 21:30:00 UTC,+6752.5,+524-3.10772e-15d,+524,+1728,+2.32266,+0.240559
2012-04-08 22:00:00 UTC,+7014.5,+206-1.58101e-14d,+206,+1728,+2.38568,+0.240559
2012-04-08 22:30:00 UTC,+7117.5,+229+3.55555e-15d,+229,+1728,+2.41046,+0.0828338
2012-04-08 23:00:00 UTC,+7232,+138-5.90016e-15d,+138,+1728,+2.41995,+0.0828338
2012-04-08 23:30:00 UTC,+7301,+164-4.96477e-15d,+164,+1728,+2.42566,+0.0810057
2012-04-09 00:00:00 UTC,+7383,+124-1.96989e-14d,+124,+1728,+2.4323,+0.0810057
