# output_current_1.csv run at 2012-04-08 00:30:00 UTC on 1892 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,1.161441,-0.015540,1.160663,3.568552,0.509584,1.777996
transformer_34,0.000643,-1.392852,0.000000,0.000000,0.000000,0.000000
tline_34,0.000000,3.956493,0.000000,0.091977,0.000000,2.194358
TR1,1.161441,-0.015540,1.160663,3.568552,0.509584,1.777996
LINE1,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE2,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE3,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE4,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE5,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE6,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE7,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE8,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE9,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE10,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE11,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE12,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE13,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE14,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE15,0.000000,-1.500777,0.000000,3.187968,0.000000,-1.568112
LINE16,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE17,0.000000,4.442478,0.000000,2.794910,0.000000,-1.570343
LINE18,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE19,0.000000,3.727387,0.000000,1.926371,0.000000,-1.559611
LINE20,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE21,0.000000,3.902059,0.000000,2.009512,0.000000,-1.544991
LINE22,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE23,0.000000,4.507604,0.000000,2.653013,0.000000,-0.024932
LINE24,13.543853,-0.839392,45.100196,3.348231,13.447209,1.249630
LINE25,0.000000,-1.317429,0.000000,3.281809,0.000000,1.555630
LINE26,0.213432,-0.842674,0.000000,-1.539828,0.000000,3.007610
LINE27,13.330422,-0.839339,45.100196,3.348231,13.447209,1.249630
LINE28,0.000000,-1.430580,0.000000,3.704663,0.000000,1.565393
LINE29,0.000643,-1.392852,0.000000,1.443722,0.000000,1.582850
LINE30,0.212884,-0.841095,0.000000,-1.507452,0.000000,3.983397
LINE31,13.330422,-0.839339,45.100196,3.348231,13.447209,1.249630
LINE32,0.000000,-1.236958,0.000000,4.202979,0.000000,1.581786
LINE34,0.212884,-0.841095,0.000000,-0.820870,0.000000,2.168864
LINE35,0.000000,2.656480,0.373381,3.346755,0.000000,1.511241
LINE36,13.330422,-0.839339,44.726816,3.348243,13.447209,1.249630
LINE37,0.000000,-1.252704,0.000000,4.197500,0.000000,1.585297
LINE38,0.212884,-0.841095,0.000000,-1.244612,0.000000,1.619213
LINE39,0.000000,2.564751,0.218155,3.346756,0.000000,1.507639
LINE40,0.000000,1.912520,0.155226,3.346755,0.000000,4.684808
LINE41,13.330422,-0.839339,44.726816,3.348243,13.447209,1.249630
LINE42,0.000000,2.785639,0.000000,3.389941,0.000000,2.504906
LINE43,0.000000,4.687457,0.000000,4.687457,0.000000,1.596602
LINE44,0.212884,-0.841095,0.000000,-0.957678,0.000000,4.671609
LINE45,0.000000,2.639797,0.218155,3.346756,0.000000,1.536518
LINE46,0.000000,2.958160,0.155226,3.346755,0.000000,-1.339865
LINE47,13.330422,-0.839339,44.726816,3.348243,13.447209,1.249630
LINE48,0.000000,2.863840,0.000000,3.429120,0.000000,2.353000
LINE49,0.000000,-1.007726,0.000000,-1.132081,0.000000,1.600497
LINE50,0.212884,-0.841095,0.000000,0.228430,0.000000,1.314063
LINE51,0.000000,2.941246,0.218155,3.346756,0.000000,1.516828
LINE52,13.330422,-0.839339,44.726816,3.348243,13.447209,1.249630
LINE53,0.000000,3.593871,0.000000,-0.368367,0.000000,4.417561
LINE54,0.000000,2.846163,0.000000,3.451946,0.000000,1.946761
LINE55,0.000000,-1.415875,0.000000,4.687457,0.000000,1.623346
LINE56,0.212884,-0.841095,0.000000,0.383524,0.000000,4.650011
LINE57,0.000000,4.529423,0.218155,3.346756,0.000000,1.532988
LINE58,13.330422,-0.839339,44.726816,3.348243,13.447209,1.249630
LINE59,0.000000,3.033865,0.000000,-0.185326,0.000000,4.597490
LINE60,0.000000,3.067882,0.000000,3.238697,0.000000,1.744388
LINE61,0.000000,-0.887102,0.000000,4.099454,0.000000,1.645146
LINE62,0.212884,-0.841095,0.000000,0.957130,0.000000,4.673611
LINE63,0.000000,4.054657,0.218155,3.346756,0.000000,1.031995
LINE64,10.267094,-0.839161,44.726816,3.348243,13.447209,1.249630
LINE65,3.063329,-0.839936,0.000000,1.688000,0.000000,-1.277585
LINE66,0.000000,3.423996,0.000000,0.019757,0.000000,4.227631
LINE67,0.000000,2.856285,0.000000,3.922813,0.000000,1.659292
LINE68,0.000000,-1.132081,0.000000,4.687457,0.000000,1.618490
LINE69,0.212884,-0.841095,0.000000,0.131681,0.000000,1.314066
LINE70,0.000000,2.939687,0.218155,3.346756,0.000000,-1.387309
LINE71,10.267094,-0.839161,44.726816,3.348243,13.447209,1.249630
LINE72,1.581748,-0.839936,0.000000,3.378070,0.000000,4.596870
LINE73,1.481581,-0.839936,0.000000,3.457584,0.000000,1.791623
LINE74,0.000000,3.513279,0.000000,-0.225711,0.000000,3.478566
LINE75,0.000000,2.742318,0.000000,3.386223,0.000000,1.624698
LINE76,0.000000,-1.481936,0.000000,4.687457,0.000000,1.654646
LINE77,0.000000,3.375040,0.218155,3.346756,0.000000,4.675692
LINE78,10.267094,-0.839161,44.726816,3.348243,13.447209,1.249630
LINE79,0.000000,3.673002,0.000000,-0.417334,0.000000,2.970343
LINE80,0.000000,2.696842,0.000000,3.468552,0.000000,1.642860
LINE81,0.000000,-1.471373,0.000000,4.687457,0.000000,1.641786
LINE82,0.000000,3.065120,0.218155,3.346756,0.000000,-1.518441
LINE83,10.267094,-0.839161,44.726816,3.348243,13.447209,1.249630
LINE84,0.000000,-1.560207,0.000000,0.106192,0.000000,4.350302
LINE85,0.000000,2.673220,0.000000,3.483825,0.000000,1.647212
LINE86,0.000000,-1.410380,0.000000,4.306951,0.000000,1.641277
LINE87,10.267094,-0.839161,44.726816,3.348243,13.447209,1.249630
LINE88,0.000000,-0.201631,0.000000,-0.201631,0.000000,2.997100
LINE89,0.000000,2.674982,0.000000,3.623604,0.000000,1.657570
LINE90,0.000000,4.507604,0.000000,4.223809,0.000000,1.623443
LINE91,10.267094,-0.839161,44.726816,3.348243,13.447209,1.249630
LINE92,0.000000,2.787964,0.000000,3.586026,0.000000,1.675856
LINE93,0.000000,3.760162,0.000000,4.687457,0.000000,1.590756
LINE94,10.267094,-0.839161,44.726816,3.348243,13.447209,1.249630
LINE95,0.000000,2.903009,0.000000,2.731889,0.000000,1.721016
LINE96,0.000000,2.871682,0.000000,0.438716,0.000000,3.116661
LINE97,10.267094,-0.839161,44.726816,3.348243,13.447209,1.249630
LINE98,0.000000,2.734311,0.000000,2.671131,0.000000,1.857810
LINE99,0.000000,3.580308,0.000000,0.000000,0.000000,4.699175
LINE100,10.267094,-0.839161,44.726816,3.348243,13.447209,1.249630
LINE101,0.000000,2.398166,0.000000,3.237483,0.000000,1.976649
LINE102,0.000000,0.000000,0.000000,0.000000,0.000000,3.116661
LINE103,0.805219,-0.839517,5.731679,3.347772,0.254981,1.249921
