# file...... output_power.csv
# date...... Tue Sep  8 16:22:17 2020
# user...... gregor
# host...... (null)
# target.... transformer 1356
# trigger... (none)
# interval.. 1800
# limit..... 0
# timestamp,power_out.real,power_out.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag
2012-04-08 00:00:00 UTC,+923.739,+5.40555,+435.03,+3.02803,+306.911,+1.65385,+181.799,+0.72367
2012-04-08 00:30:00 UTC,+1789.91,+62.6824,+342.787,+1.49251,+1118.76,+53.7102,+328.366,+7.47968
2012-04-08 01:00:00 UTC,+1335.68,+40.8203,+322.83,+1.24048,+695.765,+31.9606,+317.087,+7.61926
2012-04-08 01:30:00 UTC,+1293.95,+41.5435,+341.048,+1.56097,+643.529,+32.6946,+309.377,+7.28789
2012-04-08 02:00:00 UTC,+1250.43,+43.3933,+301.413,+1.12615,+643.383,+35.023,+305.633,+7.24406
2012-04-08 02:30:00 UTC,+1167.85,+36.1737,+267.411,+0.834266,+584.771,+27.5485,+315.673,+7.79094
2012-04-08 03:00:00 UTC,+1267.58,+30.192,+403.206,+5.04376,+660.838,+23.1261,+203.532,+2.0221
2012-04-08 03:30:00 UTC,+764.08,+8.37146,+299.821,+1.41297,+336.456,+6.63914,+127.803,+0.319352
2012-04-08 04:00:00 UTC,+793.198,+8.79116,+284.769,+0.959436,+376.894,+7.47719,+131.535,+0.354541
2012-04-08 04:30:00 UTC,+692.667,+7.44201,+246.705,+0.702285,+314.834,+6.39724,+131.128,+0.342485
2012-04-08 05:00:00 UTC,+726.084,+6.21773,+257.024,+0.82239,+336.156,+5.07541,+132.904,+0.319937
2012-04-08 05:30:00 UTC,+728.941,+5.52562,+286.752,+1.15103,+279.037,+3.91473,+163.152,+0.459861
2012-04-08 06:00:00 UTC,+757.571,+5.44978,+321.276,+1.27036,+265.039,+3.71676,+171.256,+0.462653
2012-04-08 06:30:00 UTC,+777.98,+5.77957,+316.213,+1.20705,+299.891,+4.08428,+161.877,+0.488249
2012-04-08 07:00:00 UTC,+1001.34,+9.94796,+394.609,+2.43262,+331.295,+3.40451,+275.436,+4.11083
2012-04-08 07:30:00 UTC,+791.968,+3.93238,+393.302,+2.52558,+206.972,+0.71288,+191.695,+0.693917
2012-04-08 08:00:00 UTC,+917.845,+5.14323,+338.072,+1.50195,+295.527,+1.4536,+284.246,+2.18768
2012-04-08 08:30:00 UTC,+919.952,+4.71606,+411.179,+2.27243,+292.226,+1.58679,+216.546,+0.856835
2012-04-08 09:00:00 UTC,+904.452,+4.73271,+394.296,+1.90227,+272.485,+1.55019,+237.671,+1.28026
2012-04-08 09:30:00 UTC,+1101.12,+8.03236,+467.535,+2.80672,+332.426,+2.90524,+301.163,+2.32039
2012-04-08 10:00:00 UTC,+1189.26,+10.1492,+443.761,+2.76874,+369.237,+3.62352,+376.262,+3.75689
2012-04-08 10:30:00 UTC,+1071.95,+7.29759,+437.634,+2.6432,+290.537,+1.28818,+343.778,+3.36621
2012-04-08 11:00:00 UTC,+1090.26,+11.0207,+524.467,+7.92229,+297.146,+1.62542,+268.647,+1.47301
2012-04-08 11:30:00 UTC,+1257.92,+15.9661,+551.977,+10.6285,+442.897,+3.82885,+263.05,+1.50882
2012-04-08 12:00:00 UTC,+1346.21,+22.8929,+637.238,+17.4123,+420.565,+3.61573,+288.402,+1.86484
2012-04-08 12:30:00 UTC,+1194.84,+12.9901,+519.035,+6.86513,+383.924,+3.55152,+291.882,+2.57346
2012-04-08 13:00:00 UTC,+1474.96,+25.5264,+455.82,+3.83955,+746.94,+20.198,+272.2,+1.48888
2012-04-08 13:30:00 UTC,+1435.61,+18.6947,+505.5,+5.72516,+588.238,+9.81168,+341.87,+3.15787
2012-04-08 14:00:00 UTC,+1258.72,+11.7189,+460.47,+4.16852,+377.888,+2.50154,+420.365,+5.04884
2012-04-08 14:30:00 UTC,+1482.16,+20.4908,+471.645,+4.04877,+514.155,+6.78348,+496.364,+9.65859
2012-04-08 15:00:00 UTC,+1728.53,+26.6666,+655.538,+9.88392,+467.164,+6.46657,+605.826,+10.3161
2012-04-08 15:30:00 UTC,+1578.18,+20.5097,+555.85,+5.05421,+424.314,+6.09278,+598.015,+9.3627
2012-04-08 16:00:00 UTC,+1628.49,+24.7781,+525.264,+5.7599,+463.805,+6.97113,+639.42,+12.0471
2012-04-08 16:30:00 UTC,+1722.08,+29.3808,+759.016,+16.3508,+496.181,+5.6084,+466.887,+7.42154
2012-04-08 17:00:00 UTC,+1507.73,+20.1827,+606.795,+6.69114,+450.986,+5.14358,+449.953,+8.34795
2012-04-08 17:30:00 UTC,+1587.99,+20.2013,+610.912,+6.19324,+488.085,+6.4618,+488.993,+7.54622
2012-04-08 18:00:00 UTC,+1518.09,+25.6201,+695.067,+15.6565,+447.991,+6.07033,+375.032,+3.89327
2012-04-08 18:30:00 UTC,+1558.3,+19.4757,+594.314,+4.92836,+534.308,+8.46456,+429.676,+6.08276
2012-04-08 19:00:00 UTC,+1774.85,+23.3496,+544.727,+3.88619,+607.69,+8.83668,+622.438,+10.6267
2012-04-08 19:30:00 UTC,+1710.51,+21.2902,+675.303,+6.98747,+546.193,+6.42085,+489.019,+7.88187
2012-04-08 20:00:00 UTC,+1452.43,+13.8251,+535.921,+4.02042,+478.265,+4.5283,+438.244,+5.27641
2012-04-08 20:30:00 UTC,+1497,+16.7096,+489.078,+3.07954,+623.173,+8.59083,+384.751,+5.03925
2012-04-08 21:00:00 UTC,+1479.7,+15.5114,+520.662,+4.57428,+572.23,+5.84438,+386.81,+5.09273
2012-04-08 21:30:00 UTC,+1231.3,+10.218,+416.54,+2.03964,+542.117,+6.88849,+272.638,+1.2899
2012-04-08 22:00:00 UTC,+1169.56,+8.41964,+387.284,+1.78399,+533.477,+5.58149,+248.797,+1.05416
2012-04-08 22:30:00 UTC,+1174.67,+9.4773,+410.933,+2.07641,+395.272,+2.43648,+368.469,+4.96442
