# output_voltage_1.csv run at 2012-04-08 00:30:00 UTC on 1892 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
SourceBus,6668.395609,0.000000,6668.395609,4.188790,6668.395609,2.094395
Bus1,252.132251,-0.524275,251.972398,3.663417,252.085213,1.570241
Bus2,252.134601,-0.524238,251.938632,3.663445,252.081323,1.570198
Bus3,252.134848,-0.524234,251.935092,3.663448,252.080916,1.570194
Bus4,252.135078,-0.524231,251.931776,3.663451,252.080534,1.570189
Bus5,252.135280,-0.524228,251.928885,3.663453,252.080200,1.570186
Bus6,252.135597,-0.524223,251.924330,3.663457,252.079676,1.570180
Bus7,252.157201,-0.523882,251.614164,3.663717,252.043967,1.569784
Bus8,252.158169,-0.523867,251.600272,3.663729,252.042369,1.569767
Bus9,252.158975,-0.523854,251.588710,3.663738,252.041038,1.569752
Bus10,252.159682,-0.523843,251.578563,3.663747,252.039871,1.569739
Bus11,252.160210,-0.523835,251.570992,3.663753,252.039000,1.569729
Bus12,252.160706,-0.523827,251.563884,3.663759,252.038182,1.569720
Bus13,252.161010,-0.523822,251.559514,3.663763,252.037679,1.569715
Bus14,252.161769,-0.523810,251.548633,3.663772,252.036428,1.569701
Bus15,252.167916,-0.523713,251.460492,3.663846,252.026289,1.569589
Bus16,252.167916,-0.523713,251.460492,3.663846,252.026289,1.569589
Bus17,252.175373,-0.523596,251.353608,3.663936,252.013999,1.569452
Bus18,252.167916,-0.523713,251.460492,3.663846,252.026289,1.569589
Bus19,252.175886,-0.523588,251.346253,3.663942,252.013153,1.569443
Bus20,252.167916,-0.523713,251.460492,3.663846,252.026289,1.569589
Bus21,252.176462,-0.523579,251.337995,3.663949,252.012204,1.569432
Bus22,252.167916,-0.523713,251.460492,3.663846,252.026289,1.569589
Bus23,252.177400,-0.523564,251.324550,3.663960,252.010658,1.569415
Bus24,252.167916,-0.523713,251.460492,3.663846,252.026289,1.569589
Bus25,252.179108,-0.523537,251.300089,3.663981,252.007847,1.569384
Bus26,252.167916,-0.523713,251.460492,3.663846,252.026289,1.569589
Bus27,252.177677,-0.523536,251.300094,3.663981,252.007862,1.569384
Bus28,252.202182,-0.523203,250.993415,3.664242,251.972079,1.568991
Bus29,252.167916,-0.523713,251.460492,3.663846,252.026289,1.569589
Bus30,252.177676,-0.523536,251.300094,3.663981,252.007862,1.569384
Bus31,252.177294,-0.523536,251.300095,3.663981,252.007867,1.569384
Bus32,252.208329,-0.523113,250.911776,3.664312,251.962563,1.568886
Bus33,252.167916,-0.523713,251.460492,3.663846,252.026289,1.569589
Bus35,252.177281,-0.523536,251.300095,3.663981,252.007867,1.569384
Bus36,252.208356,-0.523113,250.909348,3.664314,251.962571,1.568886
Bus37,252.226148,-0.522847,250.667273,3.664521,251.933579,1.568574
Bus38,252.167916,-0.523713,251.460492,3.663846,252.026289,1.569589
Bus39,252.177262,-0.523536,251.300095,3.663981,252.007867,1.569384
Bus40,252.208357,-0.523113,250.909248,3.664314,251.962571,1.568886
Bus41,252.208359,-0.523113,250.909029,3.664315,251.962572,1.568886
Bus42,252.238523,-0.522662,250.497611,3.664666,251.913480,1.568357
